"Name","DisplayName","State","StartMode","StartName","PathName","ProcessId"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","0"
"SessionEnv","Remote Desktop Configuration","Running","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","9116"
"SharedAccess","Internet Connection Sharing (ICS)","Stopped","Disabled","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","0"
"ShellHWDetection","Shell Hardware Detection","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","4180"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcsRedirectionGuard -p","0"
"smphost","Microsoft Storage Spaces SMP","Running","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k smphost","6284"
"SmsRouter","Microsoft Windows SMS Router Service.","Stopped","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"SNMPTrap","SNMP Trap","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\snmptrap.exe","0"
"SpektionSvc","Spektion Service","Running","Auto","LocalSystem","""C:\Program Files\Spektion\Spektion Sensor\spksvc.exe""","4908"
"Spooler","Print Spooler","Running","Auto","LocalSystem","C:\Windows\System32\spoolsv.exe","4268"
"sppsvc","Software Protection","Stopped","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\sppsvc.exe","0"
"SQLAgent$BARTENDER","SQL Server Agent (BARTENDER)","Stopped","Disabled","NT AUTHORITY\NETWORKSERVICE","""C:\Program Files\Microsoft SQL Server\MSSQL15.BARTENDER\MSSQL\Binn\SQLAGENT.EXE"" -i BARTENDER","0"
"SQLBrowser","SQL Server Browser","Running","Auto","NT AUTHORITY\LOCALSERVICE","""C:\Program Files (x86)\Microsoft SQL Server\90\Shared\sqlbrowser.exe""","4924"
"SQLTELEMETRY$BARTENDER","SQL Server CEIP service (BARTENDER)","Running","Auto","NT Service\SQLTELEMETRY$BARTENDER","""C:\Program Files\Microsoft SQL Server\MSSQL15.BARTENDER\MSSQL\Binn\sqlceip.exe"" -Service BARTENDER","5664"
"SQLWriter","SQL Server VSS Writer","Running","Auto","LocalSystem","""C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe""","4948"
"SSDPSRV","SSDP Discovery","Stopped","Disabled","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonationRedirectionGuard -p","0"
"ssh-agent","OpenSSH Authentication Agent","Stopped","Disabled","LocalSystem","C:\Windows\System32\OpenSSH\ssh-agent.exe","0"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","7112"
"StateRepository","State Repository Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k appmodel -p","1252"
"StiSvc","Windows Image Acquisition (WIA)","Stopped","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k imgsvc","0"
"StorSvc","Storage Service","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","4076"
"svsvc","Spot Verifier","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k swprv","0"
"SysMain","SysMain","Stopped","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"SystemEventsBroker","System Events Broker","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p","1580"
"TapiSrv","Telephony","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p","0"
"TermService","Remote Desktop Services","Running","Manual","NT Authority\NetworkService","C:\Windows\System32\svchost.exe -k TerminalService","7476"
"TextInputManagementService","Text Input Management Service","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","3224"
"Themes","Themes","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","3540"
"TieringEngineService","Storage Tiers Management","Stopped","Manual","localSystem","C:\Windows\system32\TieringEngineService.exe","0"
"TimeBrokerSvc","Time Broker","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","2216"
"TokenBroker","Web Account Manager","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","13672"
"TracSrvWrapper","Check Point Endpoint Security VPN","Running","Auto","LocalSystem","""C:\Program Files (x86)\CheckPoint\Endpoint Connect\TracSrvWrapper.exe""","5272"
"TrkWks","Distributed Link Tracking Client","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","5184"
"TroubleshootingSvc","Recommended Troubleshooting Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"TrustedInstaller","Windows Modules Installer","Stopped","Auto","localSystem","C:\Windows\servicing\TrustedInstaller.exe","0"
"tzautoupdate","Auto Time Zone Updater","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","0"
"UevAgentService","User Experience Virtualization Service","Stopped","Disabled","LocalSystem","C:\Windows\system32\AgentService.exe","0"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Running","Manual","localSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","8736"
"upnphost","UPnP Device Host","Stopped","Disabled","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonationRedirectionGuard -p","0"
"UserManager","User Manager","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","2756"
"UsoSvc","Update Orchestrator Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","19508"
"VaultSvc","Credential Manager","Running","Manual","LocalSystem","C:\Windows\system32\lsass.exe","1428"
"vds","Virtual Disk","Stopped","Manual","LocalSystem","C:\Windows\System32\vds.exe","0"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestrictedRedirectionGuard -p","0"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k ICService -p","0"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestrictedRedirectionGuard -p","0"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k ICService -p","0"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestrictedRedirectionGuard -p","0"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestrictedRedirectionGuard -p","0"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestrictedRedirectionGuard -p","0"
"VSS","Volume Shadow Copy","Stopped","Manual","LocalSystem","C:\Windows\system32\vssvc.exe","0"
"W32Time","Windows Time","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService","0"
"WaaSMedicSvc","WaaSMedicSvc","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k wusvcs -p","0"
"WalletService","WalletService","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k appmodel -p","0"
"WarpJITSvc","Warp JIT Service","Stopped","Manual","NT Authority\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","0"
"wbengine","Block Level Backup Engine Service","Stopped","Manual","localSystem","""C:\Windows\system32\wbengine.exe""","0"
"WbioSrvc","Windows Biometric Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k WbioSvcGroup","0"
"Wcmsvc","Windows Connection Manager","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Wcmsvc","3116"
"wcncsvc","Windows Connect Now - Config Registrar","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceAndNoImpersonation -p","0"
"WdiServiceHost","Diagnostic Service Host","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p","10560"
"WdiSystemHost","Diagnostic System Host","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","25992"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Running","Manual","NT AUTHORITY\LocalService","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\NisSrv.exe""","18860"
"WebClient","WebClient","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","15964"
"webthreatdefsvc","Web Threat Defense Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k WebThreatDefense -p","13448"
"Wecsvc","Windows Event Collector","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService -p","0"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k WepHostSvcGroup","0"
"wercplsupport","Problem Reports Control Panel Support","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","0"
"WerSvc","Windows Error Reporting Service","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k WerSvcGroup","0"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"whesvc","Windows Health and Optimized Experiences","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k whesvc -p","13824"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"WinDefend","Microsoft Defender Antivirus Service","Running","Auto","LocalSystem","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\MsMpEng.exe""","23372"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceHttp -p","2944"
"Winmgmt","Windows Management Instrumentation","Running","Auto","localSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","4648"
"WinRM","Windows Remote Management (WS-Management)","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p","0"
"wisvc","Windows Insider Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"WlanSvc","WLAN AutoConfig","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","4148"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"wlpasvc","Local Profile Assistant Service","Stopped","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"WManSvc","Windows Management Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"wmiApSrv","WMI Performance Adapter","Running","Manual","localSystem","C:\Windows\system32\wbem\WmiApSrv.exe","3428"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\mewmiprov.inf_amd64_92a56761ef7ba712\WMIRegistrationService.exe","5224"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped","Disabled","NT AUTHORITY\NetworkService","""C:\Program Files\Windows Media Player\wmpnetwk.exe""","0"
"workfolderssvc","workfolderssvc","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p","0"
"WpcMonSvc","Parental Controls","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalService","0"
"WPDBusEnum","Portable Device Enumerator Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","0"
"WpnService","Windows Push Notifications System Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","5168"
"WSAIFabricSvc","WSAIFabricSvc","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k WSAIFabricSvcGroup -p","7852"
"wscsvc","Security Center","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","24684"
"WSearch","Windows Search","Running","Auto","LocalSystem","C:\Windows\system32\SearchIndexer.exe /Embedding","11952"
"wuauserv","Windows Update","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"wuqisvc","Microsoft Usage and Quality Insights","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k WuqiSvcGroup -p","20168"
"WwanSvc","WWAN AutoConfig","Stopped","Manual","localSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"XblAuthManager","Xbox Live Auth Manager","Stopped","Disabled","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcsRedirectionGuard -p","0"
"XblGameSave","Xbox Live Game Save","Stopped","Disabled","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"XboxGipSvc","Xbox Accessory Management Service","Stopped","Disabled","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"XboxNetApiSvc","Xbox Live Networking Service","Stopped","Disabled","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"ZEPService","Zscaler Endpoint Platform Service","Running","Auto","LocalSystem","""C:\Program Files\Zscaler\ZEP\ZEPService.exe""","5196"
"ZSAScriptOrchestratorService","ZSAScriptOrchestratorService","Stopped","Manual","LocalSystem","""C:\Program Files\Zscaler\ZSAScriptOrchestratorService\ZSAScriptOrchestratorService.exe""","0"
"ZSAService","ZSAService","Running","Auto","LocalSystem","""C:\Program Files\Zscaler\ZSAService\ZSAService.exe""","5204"
"ZSATrayManager","ZSATrayManager","Running","Manual","LocalSystem","""C:\Program Files\Zscaler\ZSATrayManager\ZSATrayManager.exe""","11416"
"ZSATunnel","ZSATunnel","Running","Manual","LocalSystem","""C:\Program Files\Zscaler\ZSATunnel\ZSATunnel.exe""","16212"
"ZSAUpdater","ZSAUpdater","Stopped","Manual","LocalSystem","""C:\Program Files\Zscaler\ZSAUpdater\ZSAUpdater.exe""","0"
"ZSAUpm","ZSAUpm","Running","Manual","LocalSystem","""C:\Program Files\Zscaler\ZSAUpm\ZSAUpm.exe""","17128"
"ZTHELPER","ZTDNS Helper service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k zthelper -p","0"
"AarSvc_189cce","Agent Activation Runtime_189cce","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k AarSvcGroup -p","0"
"BcastDVRUserService_189cce","GameDVR and Broadcast User Service_189cce","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k BcastDVRUserService","0"
"BluetoothUserService_189cce","Bluetooth User Support Service_189cce","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k BthAppGroup -p","0"
"CaptureService_189cce","CaptureService_189cce","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k LocalService -p","0"
"cbdhsvc_189cce","Clipboard User Service_189cce","Running","Auto",,"C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p","14840"
"CDPUserSvc_189cce","Connected Devices Platform User Service_189cce","Running","Auto",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup","13892"
"CloudBackupRestoreSvc_189cce","Cloud Backup and Restore Service_189cce","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup","0"
"ConsentUxUserSvc_189cce","ConsentUX User Service_189cce","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k DevicesFlow","0"
"CredentialEnrollmentManagerUserSvc_189cce","CredentialEnrollmentManagerUserSvc_189cce","Stopped","Manual",,"C:\Windows\system32\CredentialEnrollmentManager.exe","0"
"DeviceAssociationBrokerSvc_189cce","DeviceAssociationBroker_189cce","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k DevicesFlow -p","0"
"DevicePickerUserSvc_189cce","DevicePicker_189cce","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k DevicesFlow","0"
"DevicesFlowUserSvc_189cce","DevicesFlow_189cce","Running","Manual",,"C:\Windows\system32\svchost.exe -k DevicesFlow","28600"
"MessagingService_189cce","MessagingService_189cce","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup","0"
"NPSMSvc_189cce","Now Playing Session Manager Service_189cce","Running","Manual",,"C:\Windows\system32\svchost.exe -k LocalService -p","21872"
"OneSyncSvc_189cce","Sync Host_189cce","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup","0"
"P9RdrService_189cce","P9RdrService_189cce","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k P9RdrService -p","0"
"PenService_189cce","PenService_189cce","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k PenService","0"
"PimIndexMaintenanceSvc_189cce","Contact Data_189cce","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup","0"
"PrintWorkflowUserSvc_189cce","PrintWorkflow_189cce","Running","Manual",,"C:\Windows\system32\svchost.exe -k PrintWorkflow","25188"
"UdkUserSvc_189cce","Udk User Service_189cce","Running","Manual",,"C:\Windows\system32\svchost.exe -k UdkSvcGroup","14496"
"UnistoreSvc_189cce","User Data Storage_189cce","Stopped","Manual",,"C:\Windows\System32\svchost.exe -k UnistackSvcGroup","0"
"UserDataSvc_189cce","User Data Access_189cce","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup","0"
"webthreatdefusersvc_189cce","Web Threat Defense User Service_189cce","Running","Auto",,"C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","13924"
"WpnUserService_189cce","Windows Push Notifications User Service_189cce","Running","Auto",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup","13988"
